Ticker,Date,Gamma Estimate,Gamma Significance,Eta Estimate,Eta Significance,Full Model Significance,CI Lower Bound (Gamma),CI Upper Bound (Gamma),F-statistic,Model p-value,Model Significance
ABBN,2023-12-21,1.0215343602050176e-10,True,-5.060023012515947e-06,False,False,8.303633290025865e-11,1.2127053914074488e-10,55.22640556819091,3.2795407810018772e-24,True
ABBN,2023-12-22,7.511270636664217e-11,False,-2.077329503316061e-06,False,False,-3.0958707598325094e-11,1.8118412033160943e-10,0.9738897111952926,0.3778031256082134,False
ABBN,2023-12-27,7.792762051383486e-11,True,-2.249700698459731e-06,False,False,6.225694196289423e-11,9.359829906477548e-11,47.60864317706942,6.027477750216717e-21,True
ABBN,2023-12-28,6.964726685855473e-11,False,-5.8935925796144615e-06,False,False,-5.3217379941830925e-11,1.925119136589404e-10,0.6288053352265702,0.5333387984612392,False
ABBN,2023-12-29,1.4684962798913005e-10,True,-4.80909066235069e-06,False,False,1.1129204348616512e-10,1.8240721249209498e-10,33.027681884648345,9.400912857950263e-15,True
ABBN,2024-01-03,5.207382652628032e-11,True,2.262591438417391e-05,True,True,3.356559439862698e-11,7.058205865393366e-11,16.90238586156509,4.9550202896324635e-08,True
ABBN,2024-01-04,1.4941868255565743e-10,True,-2.6293779782711735e-06,False,False,1.2230341172294253e-10,1.7653395338837232e-10,58.38084974076023,1.2550314652539982e-25,True
ABBN,2024-01-05,6.237246047441858e-11,True,-3.865757128727376e-06,False,False,3.9607570377157536e-11,8.513735057167963e-11,14.898858641833055,3.7238498946573884e-07,True
ABBN,2024-01-08,1.497856615934177e-10,True,-1.1582767046783657e-05,False,False,1.115382365392514e-10,1.88033086647584e-10,30.431351083954393,9.23175969221422e-14,True
ABBN,2024-01-09,1.7989286726600564e-10,True,3.412311924346876e-06,False,False,1.4642364604936445e-10,2.1336208848264682e-10,55.781333711225315,2.0999899682895733e-24,True
ABBN,2024-01-10,7.343581276281427e-11,True,1.5970837289448926e-05,False,False,2.8649345224000945e-11,1.182222803016276e-10,5.562424789282248,0.0039043001310659626,True
ABBN,2024-01-11,1.4418497903151928e-10,True,-1.6290528185318157e-05,False,False,9.400103662713121e-11,1.9436892143590734e-10,16.75880341502209,5.960159944472776e-08,True
ABBN,2024-01-12,1.1292155103239266e-10,True,-4.26309134346031e-06,False,False,8.776257808140954e-11,1.3808052398337576e-10,38.96986118699051,2.4136910976832023e-17,True
ABBN,2024-01-15,9.081928785899769e-11,True,-4.241515575427604e-06,False,False,5.83097134940668e-11,1.2332886222392858e-10,15.377145029227153,2.3806317763452227e-07,True
ABBN,2024-01-16,7.604242895686829e-11,False,-1.534302971708691e-05,False,False,-3.2594428601144706e-13,1.5241080219974802e-10,2.241691483419586,0.10653248204826299,False
ABBN,2024-01-17,3.173362271710694e-11,True,-5.509123172612207e-06,False,False,1.2371932200720254e-11,5.109531323349362e-11,5.529312044307776,0.004026111994674827,True
ABBN,2024-01-18,3.376001933481973e-11,True,-1.8384347548505868e-06,False,False,2.3909036526330798e-11,4.361100214330867e-11,22.65716781773215,1.8091128645052243e-10,True
ABBN,2024-01-19,1.585251428831211e-11,True,7.0109259235131844e-06,False,False,9.423267225079118e-12,2.22817613515451e-11,12.31835899062201,4.619838440258514e-06,True
ABBN,2024-01-22,3.0120712163233534e-11,True,7.693359924178033e-06,False,False,1.0067740587418917e-11,5.017368373904815e-11,4.602286614002538,0.010106501157022814,True
ABBN,2024-01-23,6.137195802971204e-11,True,-1.0536433487846376e-06,False,False,4.1133133160946694e-11,8.161078289847739e-11,17.700699872349468,2.344028761535404e-08,True
ABBN,2024-01-24,1.0848953922022066e-10,True,-4.756502182167264e-06,False,False,9.122208307203618e-11,1.2575699536840514e-10,76.32838806109426,1.1178016158476144e-32,True
ABBN,2024-01-25,5.488945417162048e-11,True,-1.6110834271506797e-05,True,True,3.933613711637435e-11,7.044277122686661e-11,26.815707064455125,3.0762456326082387e-12,True
ABBN,2024-01-26,4.194706130942509e-11,True,2.2699691336062833e-07,False,False,3.042400791665959e-11,5.347011470219059e-11,25.504994513786965,1.116153617276621e-11,True
