,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
63,CLN.S,2024-03-08,4.111140892338413e-10,1.7935587635057407e-10,6.428723021171085e-10
64,CLN.S,2024-03-11,3.773665302210496e-10,-1.2127376997726089e-10,8.760068304193601e-10
65,CLN.S,2024-03-12,3.1425480690560533e-09,-9.645384820635534e-09,1.593048095874764e-08
66,DOKA.S,2024-01-26,4.2607641739856963e-08,2.118800827241161e-08,6.402727520730231e-08
67,DOKA.S,2024-01-29,1.0021734129546638e-07,-8.874760933626879e-08,2.8918229192720154e-07
68,DOKA.S,2024-01-30,5.5856802165872515e-08,-9.038351953425049e-08,2.0209712386599554e-07
69,DOKA.S,2024-01-31,1.6607285026486412e-07,-1.4374396926310512e-07,4.758896697928334e-07
70,DOKA.S,2024-02-01,5.509440689038234e-08,2.715757672236532e-08,8.303123705839936e-08
71,DOKA.S,2024-02-02,7.855196617939764e-08,-6.645483539660304e-10,1.5776848071276132e-07
72,DOKA.S,2024-02-05,1.7596319828126227e-07,-1.1570493144252522e-07,4.6763132800504976e-07
73,DOKA.S,2024-02-06,6.68907027411289e-08,3.4345153635521574e-08,9.943625184673622e-08
74,DOKA.S,2024-02-07,6.713514631792355e-08,8.2486840826861e-09,1.2602160855316098e-07
75,DOKA.S,2024-02-08,4.2421756106333304e-07,4.532462400900092e-08,8.031104981176651e-07
76,DOKA.S,2024-02-09,2.2433549886878775e-07,-1.0370183426403684e-07,5.523728320016123e-07
77,DOKA.S,2024-02-12,1.2090696590223434e-07,-1.3394812033156286e-09,2.431534130077843e-07
78,DOKA.S,2024-02-13,1.6128103986122195e-07,-4.789830402132674e-09,3.273519101245766e-07
79,DOKA.S,2024-02-14,3.706058637005345e-08,-2.0530144682556035e-08,9.465131742266293e-08
80,DOKA.S,2024-02-15,2.7685779870515525e-06,-1.711291673062529e-06,7.2484476471656336e-06
81,DOKA.S,2024-02-16,6.253983035737253e-08,4.7310731862438627e-08,7.776892885230643e-08
82,DOKA.S,2024-02-19,2.0501402143807902e-07,6.734457171381905e-08,3.42683471162339e-07
83,DOKA.S,2024-02-20,4.3226935014679177e-08,-6.537352604758103e-08,1.5182739607693937e-07
84,DOKA.S,2024-02-21,7.805836433933259e-08,1.862697030758454e-08,1.3748975837108065e-07
85,DOKA.S,2024-02-22,2.408152150699211e-08,-4.775826151347066e-08,9.592130452745489e-08
86,DOKA.S,2024-02-23,5.371293833269569e-08,-2.5741382633818358e-09,1.1000001492877322e-07
87,DOKA.S,2024-02-26,3.998316097320404e-08,3.158473760518055e-08,4.8381584341227536e-08
88,DOKA.S,2024-02-27,5.747445611981181e-08,1.953370070999261e-08,9.541521152963102e-08
89,DOKA.S,2024-02-28,8.721853386170424e-08,1.0478254124198937e-08,1.6395881359920956e-07
90,DOKA.S,2024-02-29,1.1314612677122712e-06,5.298015621969044e-07,1.733120973227638e-06
91,DOKA.S,2024-03-01,1.901597267606313e-07,-1.5404119112492267e-07,5.343606446461852e-07
92,DOKA.S,2024-03-04,7.328448919357443e-08,1.3194513654138439e-08,1.3337446473301043e-07
93,DOKA.S,2024-03-05,6.385304599444222e-08,3.257591071670929e-08,9.513018127217516e-08
94,DOKA.S,2024-03-06,3.6068999180568776e-08,-5.810205838959538e-09,7.794820420009708e-08
95,DOKA.S,2024-03-07,2.421865733063749e-07,1.290887980482415e-07,3.552843485645084e-07
96,DOKA.S,2024-03-08,6.456349324973272e-08,2.4961021275621766e-08,1.0416596522384366e-07
